Географические координаты,Глубина землетрясений,Магнитуда,Тип грунта,Геологические структуры,История землетрясений,Активные сейсмические зоны,Распределение активностей,Глубина пластов,Тектонические движения,Сейсмогенные процессы,Интервал времени,Погодные условия,Сейсмографические данные,Эпицентры,Подготовленность,Геодинамические процессы
"10.485894208376639, 5.484496834487999",63.917654081158695,5.6,Глина,Ложе реки,Низкая,Нет,Неравномерное,4,Горизонтальные,Вулканические,95,Солнечно,Не доступны,Установлены,Высокая,Пассивные
"73.10596804920732, -146.53819853079892",22.895151567800866,7.7,Скала,Равнина,Низкая,Да,Равномерное,7,Горизонтальные,Волнообразные,81,Пасмурно,Доступны,Не установлены,Низкая,Пассивные
"83.80732249137371, -153.2429480607391",40.83645885334817,3.5,Песок,Ложе реки,Низкая,Нет,Равномерное,1,Горизонтальные,Вулканические,53,Снег,Доступны,Не установлены,Средняя,Пассивные
"51.65546276530466, -134.00549080381242",89.35829012311052,2.9,Скала,Равнина,Низкая,Да,Неравномерное,7,Горизонтальные,Вулканические,24,Дождь,Доступны,Установлены,Низкая,Пассивные
"78.43934475158785, -145.20086986053974",92.32568724452176,5.0,Песок,Ложе реки,Высокая,Да,Равномерное,4,Вертикальные,Вулканические,96,Дождь,Доступны,Установлены,Низкая,Пассивные
"6.755562041792845, 97.95786399364005",62.55551762338053,1.7,Глина,Равнина,Высокая,Да,Равномерное,4,Горизонтальные,Волнообразные,57,Снег,Доступны,Установлены,Низкая,Пассивные
"72.07670244247213, -59.17017818883831",95.6310660550382,2.8,Песок,Плато,Низкая,Да,Неравномерное,2,Сдвиговые,Вулканические,84,Солнечно,Доступны,Установлены,Низкая,Активные
"16.581966853609327, 100.16939208926902",30.21084291699574,1.6,Глина,Гора,Средняя,Да,Равномерное,5,Вертикальные,Волнообразные,73,Дождь,Доступны,Не установлены,Средняя,Пассивные
"25.564603766664593, 171.58882986960657",45.5041720567418,4.1,Песок,Гора,Высокая,Да,Равномерное,1,Вертикальные,Волнообразные,94,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"82.3460186149776, 121.25258997589299",7.708087268233125,4.3,Глина,Плато,Высокая,Нет,Равномерное,7,Горизонтальные,Вулканические,76,Пасмурно,Доступны,Не установлены,Средняя,Пассивные
"86.22205631213279, 178.28287687628801",43.38719738139316,5.1,Глина,Плато,Низкая,Да,Неравномерное,7,Горизонтальные,Тектонические,72,Пасмурно,Доступны,Не установлены,Средняя,Активные
"8.440282649997014, 1.3106599264317254",5.164330917620008,6.8,Скала,Гора,Высокая,Нет,Равномерное,1,Вертикальные,Тектонические,15,Пасмурно,Не доступны,Не установлены,Высокая,Активные
"50.9423860031889, -36.689246388214514",80.79698853670094,5.0,Гравий,Равнина,Низкая,Нет,Равномерное,10,Вертикальные,Волнообразные,82,Снег,Доступны,Не установлены,Низкая,Активные
"21.457176666068637, 167.01742956744675",15.058952427186075,5.7,Скала,Плато,Высокая,Нет,Равномерное,8,Горизонтальные,Вулканические,70,Дождь,Не доступны,Не установлены,Высокая,Активные
"31.197405475408182, -157.32791483640094",69.94237969053223,7.2,Песок,Плато,Средняя,Нет,Неравномерное,10,Сдвиговые,Волнообразные,26,Солнечно,Доступны,Не установлены,Низкая,Пассивные
"28.499306667400525, 68.46519746515932",30.45781138277299,3.5,Гравий,Плато,Высокая,Нет,Равномерное,3,Сдвиговые,Тектонические,99,Солнечно,Не доступны,Установлены,Высокая,Пассивные
"11.004459941223875, -92.72240319308173",76.38558237228571,3.1,Песок,Ложе реки,Высокая,Да,Неравномерное,5,Вертикальные,Волнообразные,73,Пасмурно,Доступны,Не установлены,Средняя,Активные
"76.0678806463273, -82.20014508182126",65.59286469243946,5.4,Гравий,Ложе реки,Высокая,Да,Равномерное,1,Вертикальные,Волнообразные,88,Снег,Доступны,Установлены,Высокая,Пассивные
"3.7777703352765113, 0.9474437415043155",62.1413047645699,6.7,Песок,Плато,Высокая,Да,Неравномерное,10,Вертикальные,Вулканические,31,Пасмурно,Не доступны,Не установлены,Высокая,Активные
"44.414800222656474, -69.43523123469065",88.34331268895191,6.1,Скала,Плато,Низкая,Да,Неравномерное,6,Сдвиговые,Тектонические,79,Солнечно,Не доступны,Не установлены,Низкая,Пассивные
